"symbol","overallAssociationScore","geneticAssociations","somaticMutations","drugs","pathwaysSystemsBiology","textMining","rnaExpression","animalModels","targetName"
"JAK2",0.032397370061660956,"No data","No data","No data","No data","No data","No data",0.2664560685931735,"Janus kinase 2"
"SIRT2",0.032227363328505995,"No data","No data","No data","No data","No data","No data",0.26505782775866676,"sirtuin 2"
"STARD13",0.032027790206976256,"No data","No data","No data","No data","No data","No data",0.2634164146051154,"StAR related lipid transfer domain containing 13"
"CALHM2",0.032027790206976256,"No data","No data","No data","No data","No data","No data",0.2634164146051154,"calcium homeostasis modulator family member 2"
"PDCD1LG2",0.031976049027320395,"No data","No data","No data","No data","No data","No data",0.26299086304678726,"programmed cell death 1 ligand 2"
"IL2",0.031843000279633916,"No data","No data","No data","No data",0.03647584785669726,"No data",0.25277762564691203,"interleukin 2"
"NPM1",0.031754301114509574,"No data","No data","No data","No data","No data","No data",0.2611670706539524,"nucleophosmin 1"
"FECH",0.03168777674066633,"No data","No data","No data","No data","No data","No data",0.2606199329361019,"ferrochelatase"
"C9orf43",0.031658210352291556,"No data","No data","No data","No data","No data","No data",0.2603767606170573,"chromosome 9 open reading frame 43"
"SCRIB",0.031547336395886146,"No data","No data","No data","No data","No data","No data",0.2594648644206399,"scribble planar cell polarity protein"
"CYLD",0.03152516160460506,"No data","No data","No data","No data","No data","No data",0.2592824851813564,"CYLD lysine 63 deubiquitinase"
"TPX2",0.03142907084238704,"No data","No data","No data","No data","No data","No data",0.25849217514446127,"TPX2 microtubule nucleation factor"
"F2RL1",0.03130341369179424,"No data","No data","No data","No data","No data","No data",0.2574586927885215,"F2R like trypsin receptor 1"
"STAT6",0.03130003468055326,"No data","No data","No data","No data",0.2574309017039584,"No data","No data","signal transducer and activator of transcription 6"
"EXOC6",0.031074274181889724,"No data","No data","No data","No data","No data","No data",0.2555741073159255,"exocyst complex component 6"
"DLK1",0.031044707793514956,"No data","No data","No data","No data",0.25533093499688087,"No data","No data","delta like non-canonical Notch ligand 1"
"UROS",0.03102992459932756,"No data","No data","No data","No data","No data","No data",0.2552093488373585,"uroporphyrinogen III synthase"
"ATP5MK",0.030941225434203235,"No data","No data","No data","No data","No data","No data",0.25447983188022455,"ATP synthase membrane subunit k"
"STRIP2",0.03089687585164107,"No data","No data","No data","No data","No data","No data",0.2541150734016576,"striatin interacting protein 2"
"MGAT4B",0.03083774307489152,"No data","No data","No data","No data","No data","No data",0.25362872876356835,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B"
"WAS",0.030749043909767192,"No data","No data","No data","No data","No data","No data",0.2528992118064344,"WASP actin nucleation promoting factor"
"ITGB1",0.030675127938830257,"No data","No data","No data","No data",0.25229128100882275,"No data","No data","integrin subunit beta 1"
"TRBV20OR9-2",0.030675127938830257,"No data","No data","No data","No data",0.25229128100882275,"No data","No data","T cell receptor beta variable 20/OR9-2 (non-functional)"
"PTPRN",0.03052729599695637,"No data","No data","No data","No data","No data","No data",0.2510754194135995,"protein tyrosine phosphatase receptor type N"
"CUZD1",0.03052729599695637,"No data","No data","No data","No data","No data","No data",0.2510754194135995,"CUB and zona pellucida like domains 1"
"TNFRSF1B",0.03052729599695637,"No data","No data","No data","No data","No data","No data",0.2510754194135995,"TNF receptor superfamily member 1B"
"MAP3K14",0.03046816322020682,"No data","No data","No data","No data","No data","No data",0.25058907477551023,"mitogen-activated protein kinase kinase kinase 14"
"TLX1",0.030453380026019432,"No data","No data","No data","No data","No data","No data",0.2504674886159879,"T cell leukemia homeobox 1"
"NCAM1",0.030010500166822263,"No data","No data","No data","No data",0.24682496992029826,"No data","No data","neural cell adhesion molecule 1"
"ELAC2",0.02947613672284727,"No data","No data","No data","No data",0.2424300334729728,"No data","No data","elaC ribonuclease Z 2"
"AFP",0.027882746814545837,"No data","No data","No data","No data",0.22932500643238374,"No data","No data","alpha fetoprotein"
"NAB2",0.027865987813216475,"No data","No data","No data","No data",0.22918717000926453,"No data","No data","NGFI-A binding protein 2"
"HIF1A",0.023864374612672313,"No data","No data","No data","No data",0.19627542070930054,"No data","No data","hypoxia inducible factor 1 subunit alpha"
"VCL",0.023653110699820915,"No data","No data","No data","No data",0.19453785523571876,"No data","No data","vinculin"
"LAMB1",0.023447788558329418,"No data","No data","No data","No data",0.19284915857568646,"No data","No data","laminin subunit beta 1"
"FN1",0.023355393594658234,"No data","No data","No data","No data",0.19208924507867192,"No data","No data","fibronectin 1"
"CDKN2B",0.022913950990451508,"No data","No data","No data","No data",0.18845854725960254,"No data","No data","cyclin dependent kinase inhibitor 2B"
"CD44",0.02270862884896001,"No data","No data","No data","No data",0.18676985059957027,"No data","No data","CD44 molecule (Indian blood group)"
"ENSG00000285132",0.022359581208424455,"No data","No data","No data","No data",0.18389906627751537,"No data","No data","cathepsin B "
"FERMT2",0.022174791281082105,"No data","No data","No data","No data",0.18237923928348632,"No data","No data","FERM domain containing kindlin 2"
"SLC1A2",0.022174791281082105,"No data","No data","No data","No data",0.18237923928348632,"No data","No data","solute carrier family 1 member 2"
"LAMA1",0.022174791281082105,"No data","No data","No data","No data",0.18237923928348632,"No data","No data","laminin subunit alpha 1"
"INPP5D",0.022174791281082105,"No data","No data","No data","No data",0.18237923928348632,"No data","No data","inositol polyphosphate-5-phosphatase D"
"PTK2",0.022174791281082105,"No data","No data","No data","No data",0.18237923928348632,"No data","No data","protein tyrosine kinase 2"
"LAMC1",0.022174791281082105,"No data","No data","No data","No data",0.18237923928348632,"No data","No data","laminin subunit gamma 1"
"C3AR1",0.021435631571712705,"No data","No data","No data","No data",0.1762999313073701,"No data","No data","complement C3a receptor 1"
"MMP9",0.020696471862343302,"No data","No data","No data","No data",0.17022062333125393,"No data","No data","matrix metallopeptidase 9"
"CHEK2",0.020491149720851802,"No data","No data","No data","No data",0.16853192667122163,"No data","No data","checkpoint kinase 2"
"CD19",0.02038848865010605,"No data","No data","No data","No data",0.1676875783412055,"No data","No data","CD19 molecule"
"GH1",0.0199573121529739,"No data","No data","No data","No data",0.1641413153551377,"No data","No data","growth hormone 1"
"PER2",0.0199573121529739,"No data","No data","No data","No data",0.1641413153551377,"No data","No data","period circadian regulator 2"
"GSTM1",0.019587732298289195,"No data","No data","No data","No data",0.1611016613670796,"No data","No data","glutathione S-transferase mu 1"
"TRPM4",0.019587732298289195,"No data","No data","No data","No data",0.1611016613670796,"No data","No data","transient receptor potential cation channel subfamily M member 4"
"TNF",0.019583627380742097,"No data","No data","No data","No data",0.16106789997875032,"No data","No data","tumor necrosis factor"
"BCL2",0.019256753006204896,"No data","No data","No data","No data",0.15837948235110755,"No data","No data","BCL2 apoptosis regulator"
"IL6",0.01922116662851156,"No data","No data","No data","No data",0.15808679790550004,"No data","No data","interleukin 6"
"IGHE",0.01847899273423509,"No data","No data","No data","No data",0.15198269940290526,"No data","No data","immunoglobulin heavy constant epsilon"
"JUN",0.018011884862341926,"No data","No data","No data","No data",0.14814091450133185,"No data","No data","Jun proto-oncogene, AP-1 transcription factor subunit"
"LHX2",0.017924622952208036,"No data","No data","No data","No data",0.1474232184208181,"No data","No data","LIM homeobox 2"
"MAPK1",0.017739833024865686,"No data","No data","No data","No data",0.14590339142678904,"No data","No data","mitogen-activated protein kinase 1"
"GSTT1",0.017739833024865686,"No data","No data","No data","No data",0.14590339142678904,"No data","No data","glutathione S-transferase theta 1"
"PLCB1",0.017739833024865686,"No data","No data","No data","No data",0.14590339142678904,"No data","No data","phospholipase C beta 1"
"SNAI2",0.017739833024865686,"No data","No data","No data","No data",0.14590339142678904,"No data","No data","snail family transcriptional repressor 2"
"IL1B",0.0176090428207356,"No data","No data","No data","No data",0.1448276916543485,"No data","No data","interleukin 1 beta"
"NANOG",0.017370253170180986,"No data","No data","No data","No data",0.14286373743873096,"No data","No data","Nanog homeobox"
"SIRT1",0.017000673315496286,"No data","No data","No data","No data",0.13982408345067285,"No data","No data","sirtuin 1"
"IL17A",0.016815883388153933,"No data","No data","No data","No data",0.1383042564566438,"No data","No data","interleukin 17A"
"APOC2",0.016795351174004783,"No data","No data","No data","No data",0.13813538679064055,"No data","No data","apolipoprotein C2"
"CD79A",0.016631093460811583,"No data","No data","No data","No data",0.13678442946261474,"No data","No data","CD79a molecule"
"MYC",0.016210183070754006,"No data","No data","No data","No data",0.1333226013095486,"No data","No data","MYC proto-oncogene, bHLH transcription factor"
"MGMT",0.01593299817974048,"No data","No data","No data","No data",0.131042860818505,"No data","No data","O-6-methylguanine-DNA methyltransferase"
"H3P10",0.015686611609950676,"No data","No data","No data","No data",0.12901642482646625,"No data","No data","H3 histone pseudogene 10"
"PDPN",0.015522353896757475,"No data","No data","No data","No data",0.12766546749844043,"No data","No data","podoplanin"
"EGR1",0.015337563969415128,"No data","No data","No data","No data",0.12614564050441138,"No data","No data","early growth response 1"
"AKT1",0.015084023599093457,"No data","No data","No data","No data",0.12406036721904937,"No data","No data","AKT serine/threonine kinase 1"
"TLR4",0.015009048543028725,"No data","No data","No data","No data",0.12344372584835973,"No data","No data","toll like receptor 4"
"CALCB",0.014783194187388075,"No data","No data","No data","No data",0.12158615952232422,"No data","No data","calcitonin related polypeptide beta"
"HES4",0.014783194187388075,"No data","No data","No data","No data",0.12158615952232422,"No data","No data","hes family bHLH transcription factor 4"
"E2F2",0.014783194187388075,"No data","No data","No data","No data",0.12158615952232422,"No data","No data","E2F transcription factor 2"
"IGHG3",0.014783194187388075,"No data","No data","No data","No data",0.12158615952232422,"No data","No data","immunoglobulin heavy constant gamma 3 (G3m marker)"
"KIT",0.014235872634927843,"No data","No data","No data","No data",0.11708464755245453,"No data","No data","KIT proto-oncogene, receptor tyrosine kinase"
"MGST1",0.01422882440536102,"No data","No data","No data","No data",0.11702667854023706,"No data","No data","microsomal glutathione S-transferase 1"
"CDH2",0.01408509890631697,"No data","No data","No data","No data",0.11584459087821446,"No data","No data","cadherin 2"
"MLH1",0.01404403447801867,"No data","No data","No data","No data",0.115506851546208,"No data","No data","mutL homolog 1"
"GSTM3",0.013304874768649264,"No data","No data","No data","No data",0.1094275435700918,"No data","No data","glutathione S-transferase mu 3"
"ACE",0.013284342554500115,"No data","No data","No data","No data",0.10925867390408857,"No data","No data","angiotensin I converting enzyme"
"LGALS3",0.012935294913964564,"No data","No data","No data","No data",0.1063878895820337,"No data","No data","galectin 3"
"MSR1",0.012856643963029962,"No data","No data","No data","No data",0.1057410153716499,"No data","No data","macrophage scavenger receptor 1"
"CDH1",0.01266517478071746,"No data","No data","No data","No data",0.10416625404137408,"No data","No data","cadherin 1"
"REG1A",0.012565715059279862,"No data","No data","No data","No data",0.10334823559397559,"No data","No data","regenerating family member 1 alpha"
"MUC1",0.012565715059279862,"No data","No data","No data","No data",0.10334823559397559,"No data","No data","mucin 1, cell surface associated"
"COL1A1",0.012421989560235809,"No data","No data","No data","No data",0.102166147931953,"No data","No data","collagen type I alpha 1 chain"
"MYB",0.01233986070363921,"No data","No data","No data","No data",0.10149066926794008,"No data","No data","MYB proto-oncogene, transcription factor"
"DLL4",0.012196135204595157,"No data","No data","No data","No data",0.10030858160591746,"No data","No data","delta like canonical Notch ligand 4"
"BRCA2",0.01214155128541458,"No data","No data","No data","No data",0.09985964959428865,"No data","No data","BRCA2 DNA repair associated"
"SPI1",0.011826555349910457,"No data","No data","No data","No data",0.09726892761785938,"No data","No data","Spi-1 proto-oncogene"
"CDKN1C",0.011826555349910457,"No data","No data","No data","No data",0.09726892761785938,"No data","No data","cyclin dependent kinase inhibitor 1C"
"LEF1",0.011826555349910457,"No data","No data","No data","No data",0.09726892761785938,"No data","No data","lymphoid enhancer binding factor 1"
"NR4A2",0.011826555349910457,"No data","No data","No data","No data",0.09726892761785938,"No data","No data","nuclear receptor subfamily 4 group A member 2"
"HSPA5",0.011456975495225754,"No data","No data","No data","No data",0.09422927362980127,"No data","No data","heat shock protein family A (Hsp70) member 5"
"CAMK2A",0.011272185567883406,"No data","No data","No data","No data",0.09270944663577223,"No data","No data","calcium/calmodulin dependent protein kinase II alpha"
"RHOA",0.011272185567883404,"No data","No data","No data","No data",0.09270944663577221,"No data","No data","ras homolog family member A"
"ITGA1",0.011087395640541052,"No data","No data","No data","No data",0.09118961964174316,"No data","No data","integrin subunit alpha 1"
"TRAV29DV5",0.011087395640541052,"No data","No data","No data","No data",0.09118961964174316,"No data","No data","T cell receptor alpha variable 29/delta variable 5"
"TLN2",0.011087395640541052,"No data","No data","No data","No data",0.09118961964174316,"No data","No data","talin 2"
"YY1",0.011087395640541052,"No data","No data","No data","No data",0.09118961964174316,"No data","No data","YY1 transcription factor"
"TRAJ60",0.011087395640541052,"No data","No data","No data","No data",0.09118961964174316,"No data","No data","T cell receptor alpha joining 60 (pseudogene)"
"ITGA2",0.011087395640541052,"No data","No data","No data","No data",0.09118961964174316,"No data","No data","integrin subunit alpha 2"
"CDH11",0.011087395640541052,"No data","No data","No data","No data",0.09118961964174316,"No data","No data","cadherin 11"
"IL3",0.0110257989980936,"No data","No data","No data","No data",0.09068301064373346,"No data","No data","interleukin 3"
"RING1",0.010348235931171651,"No data","No data","No data","No data",0.08511031166562696,"No data","No data","ring finger protein 1"
"SPAG5",0.010348235931171651,"No data","No data","No data","No data",0.08511031166562696,"No data","No data","sperm associated antigen 5"
"DSTYK",0.010348235931171651,"No data","No data","No data","No data",0.08511031166562696,"No data","No data","dual serine/threonine and tyrosine protein kinase"
"CCL2",0.010040252718934398,"No data","No data","No data","No data",0.08257726667557853,"No data","No data","C-C motif chemokine ligand 2"
"LAMB2",0.009793866149144598,"No data","No data","No data","No data",0.0805508306835398,"No data","No data","laminin subunit beta 2"
"HMOX1",0.009793866149144598,"No data","No data","No data","No data",0.0805508306835398,"No data","No data","heme oxygenase 1"
"THY1",0.009755470908685686,"No data","No data","No data","No data",0.08023504440811374,"No data","No data","Thy-1 cell surface antigen"
"TACSTD2",0.009732269506697146,"No data","No data","No data","No data",0.0800442216855301,"No data","No data","tumor associated calcium signal transducer 2"
"PPP1R3A",0.009609076221802246,"No data","No data","No data","No data",0.07903100368951074,"No data","No data","protein phosphatase 1 regulatory subunit 3A"
"TMEM63C",0.009609076221802246,"No data","No data","No data","No data",0.07903100368951074,"No data","No data","transmembrane protein 63C"
"ALOX12",0.009609076221802246,"No data","No data","No data","No data",0.07903100368951074,"No data","No data","arachidonate 12-lipoxygenase, 12S type"
"GRIN2B",0.009609076221802246,"No data","No data","No data","No data",0.07903100368951074,"No data","No data","glutamate ionotropic receptor NMDA type subunit 2B"
"GRIN2A",0.009609076221802246,"No data","No data","No data","No data",0.07903100368951074,"No data","No data","glutamate ionotropic receptor NMDA type subunit 2A"
"TSC2",0.009609076221802246,"No data","No data","No data","No data",0.07903100368951074,"No data","No data","TSC complex subunit 2"
"JAG1",0.009465350722758196,"No data","No data","No data","No data",0.07784891602748814,"No data","No data","jagged canonical Notch ligand 1"
"IKZF1",0.009424286294459896,"No data","No data","No data","No data",0.07751117669548169,"No data","No data","IKAROS family zinc finger 1"
"MMP2",0.009393487973236171,"No data","No data","No data","No data",0.07725787219647684,"No data","No data","matrix metallopeptidase 2"
"BECN1",0.009239496367117545,"No data","No data","No data","No data",0.07599134970145263,"No data","No data","beclin 1"
"MAPK8",0.009208698045893821,"No data","No data","No data","No data",0.0757380452024478,"No data","No data","mitogen-activated protein kinase 8"
"CSF2",0.009131702242834508,"No data","No data","No data","No data",0.0751047839549357,"No data","No data","colony stimulating factor 2"
"CD4",0.009003375904402318,"No data","No data","No data","No data",0.07404934854241552,"No data","No data","CD4 molecule"
"MAPK14",0.008910980940731143,"No data","No data","No data","No data",0.07328943504540099,"No data","No data","mitogen-activated protein kinase 14"
"SMAD3",0.008869916512432843,"No data","No data","No data","No data",0.07295169571339452,"No data","No data","SMAD family member 3"
"SRD5A2",0.008869916512432843,"No data","No data","No data","No data",0.07295169571339452,"No data","No data","steroid 5 alpha-reductase 2"
"VCAM1",0.008869916512432843,"No data","No data","No data","No data",0.07295169571339452,"No data","No data","vascular cell adhesion molecule 1"
"LPL",0.008820080860863241,0.00023500309454011352,"No data","No data","No data",0.07224806253193743,"No data","No data","lipoprotein lipase"
"VEGFA",0.008703586721709693,"No data","No data","No data","No data",0.07158369633438123,"No data","No data","vascular endothelial growth factor A"
"KRT7",0.008654328263866766,"No data","No data","No data","No data",0.07117856422036063,"No data","No data","keratin 7"
"KDR",0.008592096798879807,"No data","No data","No data","No data",0.0706667340479837,"No data","No data","kinase insert domain receptor"
"CD27",0.008315546730405791,"No data","No data","No data","No data",0.06839221473130737,"No data","No data","CD27 molecule"
"CXCL12",0.008282284543484167,"No data","No data","No data","No data",0.06811864587238214,"No data","No data","C-X-C motif chemokine ligand 12"
"CASP3",0.00819235344551089,"No data","No data","No data","No data",0.06737899673528801,"No data","No data","caspase 3"
"VIM",0.008151537156332843,"No data","No data","No data","No data",0.06704329825333576,"No data","No data","vimentin"
"ABCC1",0.00813075680306344,"No data","No data","No data","No data",0.06687238773727831,"No data","No data","ATP binding cassette subfamily C member 1"
"ATP2B4",0.00813075680306344,"No data","No data","No data","No data",0.06687238773727831,"No data","No data","ATPase plasma membrane Ca2+ transporting 4"
"YBX1",0.00813075680306344,"No data","No data","No data","No data",0.06687238773727831,"No data","No data","Y-box binding protein 1"
"SIRT3",0.00813075680306344,"No data","No data","No data","No data",0.06687238773727831,"No data","No data","sirtuin 3"
"SRSF2",0.00813075680306344,"No data","No data","No data","No data",0.06687238773727831,"No data","No data","serine and arginine rich splicing factor 2"
"GFAP",0.00811022458891429,"No data","No data","No data","No data",0.0667035180712751,"No data","No data","glial fibrillary acidic protein"
"NOTCH1",0.00811022458891429,"No data","No data","No data","No data",0.0667035180712751,"No data","No data","notch receptor 1"
"RPS6KA5",0.00794596687572109,"No data","No data","No data","No data",0.06535256074324927,"No data","No data","ribosomal protein S6 kinase A5"
"CXCL8",0.007822773590826188,"No data","No data","No data","No data",0.06433934274722988,"No data","No data","C-X-C motif chemokine ligand 8"
"CDK5",0.007761176948378739,"No data","No data","No data","No data",0.06383273374922022,"No data","No data","cyclin dependent kinase 5"
"SMN1",0.007761176948378739,"No data","No data","No data","No data",0.06383273374922022,"No data","No data","survival of motor neuron 1, telomeric"
"CTNNB1",0.007761176948378739,"No data","No data","No data","No data",0.06383273374922022,"No data","No data","catenin beta 1"
"CDKN1B",0.007576387021036387,"No data","No data","No data","No data",0.062312906755191154,"No data","No data","cyclin dependent kinase inhibitor 1B"
"PRSS2",0.0074096654421452884,"No data","No data","No data","No data",0.06094168506724495,"No data","No data","serine protease 2"
"KLK3",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","kallikrein related peptidase 3"
"SRY",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","sex determining region Y"
"IGHV2-5",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 2-5"
"IGHV3-72",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 3-72"
"IGHV3-43",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 3-43"
"IGHV2-70",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 2-70"
"SIRT6",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","sirtuin 6"
"PRKAA1",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","protein kinase AMP-activated catalytic subunit alpha 1"
"SQSTM1",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","sequestosome 1"
"METTL14",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","methyltransferase 14, N6-adenosine-methyltransferase subunit"
"CXCR5",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","C-X-C motif chemokine receptor 5"
"ELK3",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","ETS transcription factor ELK3"
"MEIS1",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","Meis homeobox 1"
"GLUL",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","glutamate-ammonia ligase"
"F13A1",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","coagulation factor XIII A chain"
"DNMT1",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","DNA methyltransferase 1"
"TIMP1",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","TIMP metallopeptidase inhibitor 1"
"IGHV4-61",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 4-61"
"RBFOX3",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","RNA binding fox-1 homolog 3"
"HPGDS",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","hematopoietic prostaglandin D synthase"
"METTL3",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit"
"IGHV3-15",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 3-15"
"IGHV3-20",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 3-20"
"HOXA9",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","homeobox A9"
"GPX3",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","glutathione peroxidase 3"
"PRSS3",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","serine protease 3"
"IGHV3-73",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 3-73"
"IGHV1-58",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 1-58"
"CD5",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","CD5 molecule"
"IGHV3-16",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 3-16 (non-functional)"
"ENPP2",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","ectonucleotide pyrophosphatase/phosphodiesterase 2"
"IGHV3-38",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 3-38 (non-functional)"
"ACTA1",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","actin alpha 1, skeletal muscle"
"CELA3B",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","chymotrypsin like elastase 3B"
"STAT4",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","signal transducer and activator of transcription 4"
"IGHV1-45",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 1-45"
"IGHV1-24",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 1-24"
"IGHV4-59",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 4-59"
"PCDH9",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","protocadherin 9"
"IL17RA",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","interleukin 17 receptor A"
"GATA2",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","GATA binding protein 2"
"IGHV4-28",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 4-28"
"IGHV3-35",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 3-35 (non-functional)"
"VPS16",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","VPS16 core subunit of CORVET and HOPS complexes"
"GPX8",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","glutathione peroxidase 8 (putative)"
"IGHV3-49",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 3-49"
"IGHV3-74",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","immunoglobulin heavy variable 3-74"
"TLR7",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","toll like receptor 7"
"MT-TL1",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","mitochondrially encoded tRNA-Leu (UUA/G) 1"
"IL17RC",0.0073915970936940375,"No data","No data","No data","No data",0.06079307976116211,"No data","No data","interleukin 17 receptor C"
"SPHK2",0.007206807166351686,"No data","No data","No data","No data",0.05927325276713306,"No data","No data","sphingosine kinase 2"
"CXCR4",0.007166551455875997,"No data","No data","No data","No data",0.05894216483217531,"No data","No data","C-X-C motif chemokine receptor 4"
"KL",0.007022017239009335,"No data","No data","No data","No data",0.057753425773104,"No data","No data","klotho"
"LOXL2",0.007022017239009335,"No data","No data","No data","No data",0.057753425773104,"No data","No data","lysyl oxidase like 2"
"TRPV1",0.0068372273116669826,"No data","No data","No data","No data",0.056233598779074946,"No data","No data","transient receptor potential cation channel subfamily V member 1"
"MAP1LC3A",0.006652437384324632,"No data","No data","No data","No data",0.0547137717850459,"No data","No data","microtubule associated protein 1 light chain 3 alpha"
"IL31",0.006652437384324632,"No data","No data","No data","No data",0.0547137717850459,"No data","No data","interleukin 31"
"APOL3",0.006652437384324632,"No data","No data","No data","No data",0.0547137717850459,"No data","No data","apolipoprotein L3"
"PINX1",0.006282857529639931,"No data","No data","No data","No data",0.051674117796987794,"No data","No data","PIN2 (TERF1) interacting telomerase inhibitor 1 "
"BDNF",0.006262325315490781,"No data","No data","No data","No data",0.05150524813098457,"No data","No data","brain derived neurotrophic factor"
"STX1A",0.006252059208416205,"No data","No data","No data","No data",0.05142081329798295,"No data","No data","syntaxin 1A"
"CCND1",0.006099504857288021,"No data","No data","No data","No data",0.05016611167957897,"No data","No data","cyclin D1"
"PTPRC",0.005954342103253529,"No data","No data","No data","No data",0.04897220314093614,"No data","No data","protein tyrosine phosphatase receptor type C"
"RPS6KA1",0.005913277674955229,"No data","No data","No data","No data",0.04863446380892969,"No data","No data","ribosomal protein S6 kinase A1"
"HSP90B2P",0.005913277674955229,"No data","No data","No data","No data",0.04863446380892969,"No data","No data","heat shock protein 90 beta family member 2, pseudogene"
"PARK7",0.005913277674955229,"No data","No data","No data","No data",0.04863446380892969,"No data","No data","Parkinsonism associated deglycase"
"HEY1",0.005913277674955229,"No data","No data","No data","No data",0.04863446380892969,"No data","No data","hes related family bHLH transcription factor with YRPW motif 1"
"MAPK3",0.005739562572510063,"No data","No data","No data","No data",0.04720572304495095,"No data","No data","mitogen-activated protein kinase 3"
"CDH5",0.005687423319314578,"No data","No data","No data","No data",0.046776897482894174,"No data","No data","cadherin 5"
"PROM1",0.005550028270780731,"No data","No data","No data","No data",0.0456468753728643,"No data","No data","prominin 1"
"CYP1B1",0.005543697820270528,"No data","No data","No data","No data",0.045594809820871586,"No data","No data","cytochrome P450 family 1 subfamily B member 1"
"CD274",0.005543697820270526,"No data","No data","No data","No data",0.04559480982087158,"No data","No data","CD274 molecule"
"PDGFRA",0.005358907892928176,"No data","No data","No data","No data",0.044074982826842524,"No data","No data","platelet derived growth factor receptor alpha"
"WNT3A",0.005358907892928176,"No data","No data","No data","No data",0.044074982826842524,"No data","No data","Wnt family member 3A"
