ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
45297_at	0.7891568	1.28e-01	1.695072	-5.18204	0.4585506	EHD2	EH domain containing 2
206635_at	0.7891568	1.28e-01	1.69505	-5.18207	0.6168954	CHRNB2	cholinergic receptor nicotinic beta 2 subunit
215097_at	0.7891668	1.28e-01	-1.69486	-5.18233	-0.9086856	CAPZB	capping actin protein of muscle Z-line beta subunit
208417_at	0.7891824	1.28e-01	1.694391	-5.18297	0.7284275	FGF6	fibroblast growth factor 6
214366_s_at	0.7891824	1.28e-01	-1.694148	-5.1833	-1.1441986	ALOX5	arachidonate 5-lipoxygenase
219992_at	0.7891824	1.28e-01	-1.694123	-5.18333	-0.3637335	TAC3	tachykinin 3
205333_s_at	0.7891824	1.28e-01	-1.694119	-5.18334	-0.4480088	RCE1	Ras converting CAAX endopeptidase 1
219077_s_at	0.7892451	1.28e-01	-1.693876	-5.18367	-0.8701481	WWOX	WW domain containing oxidoreductase
220483_s_at	0.7892451	1.28e-01	-1.693415	-5.1843	-0.5292303	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase
219877_at	0.7892451	1.28e-01	1.693137	-5.18468	0.4314658	ZMAT4	zinc finger matrin-type 4
205377_s_at	0.7892451	1.28e-01	-1.693077	-5.18476	-0.5868679	ACHE	acetylcholinesterase (Cartwright blood group)
207262_at	0.7892451	1.28e-01	-1.692964	-5.18492	-1.2975245	APOF	apolipoprotein F
211964_at	0.7892451	1.28e-01	-1.692646	-5.18535	-0.3085165	COL4A2	collagen type IV alpha 2 chain
204011_at	0.7892451	1.28e-01	1.692436	-5.18564	0.3006683	SPRY2	sprouty RTK signaling antagonist 2
215316_at	0.7892451	1.28e-01	1.692239	-5.18591	1.0686375		
210924_at	0.7892451	1.28e-01	-1.692047	-5.18617	-0.4683882	OLFM1	olfactomedin 1
211208_s_at	0.7892451	1.29e-01	1.691507	-5.18691	0.3283567	CASK	calcium/calmodulin dependent serine protein kinase
212306_at	0.7892451	1.29e-01	1.691313	-5.18717	0.2573513	CLASP2	cytoplasmic linker associated protein 2
201370_s_at	0.7892451	1.29e-01	-1.69129	-5.18721	-0.2706886	CUL3	cullin 3
210173_at	0.7892451	1.29e-01	-1.691241	-5.18727	-0.7240257	PTPRJ	protein tyrosine phosphatase, receptor type J
220435_at	0.7892451	1.29e-01	-1.691218	-5.1873	-0.4291144	SLC30A10	solute carrier family 30 member 10
219267_at	0.7892451	1.29e-01	1.691108	-5.18745	0.7249796	GLTP	glycolipid transfer protein
221570_s_at	0.7892451	1.29e-01	1.691047	-5.18754	0.3598106	METTL5	methyltransferase like 5
204502_at	0.7892451	1.29e-01	-1.690887	-5.18776	-0.6557357	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1
216471_x_at	0.7892451	1.29e-01	1.690763	-5.18793	0.8863351	SSX2B///SSX2	SSX family member 2B///SSX family member 2
221667_s_at	0.7892451	1.29e-01	1.690617	-5.18812	0.3710712	HSPB8	heat shock protein family B (small) member 8
203429_s_at	0.789296	1.29e-01	-1.689803	-5.18924	-0.3204484	SUCO	SUN domain containing ossification factor
201611_s_at	0.789296	1.29e-01	1.68953	-5.18961	0.4239799	ICMT	isoprenylcysteine carboxyl methyltransferase
205016_at	0.789296	1.29e-01	1.689488	-5.18967	0.720712	TGFA	transforming growth factor alpha
209294_x_at	0.789296	1.29e-01	-1.689467	-5.1897	-1.0523335	TNFRSF10B	TNF receptor superfamily member 10b
214905_at	0.789296	1.29e-01	1.689463	-5.1897	0.7089969	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1
207070_at	0.789296	1.29e-01	1.689431	-5.18975	0.9505824	RGR	retinal G protein coupled receptor
1320_at	0.789296	1.29e-01	-1.689282	-5.18995	-0.9748291	PTPN21	protein tyrosine phosphatase, non-receptor type 21
222136_x_at	0.789296	1.29e-01	1.688638	-5.19083	0.8096033	ZNF729///ZNF43	zinc finger protein 729///zinc finger protein 43
219222_at	0.789296	1.29e-01	1.688168	-5.19147	0.692866	RBKS	ribokinase
219653_at	0.789296	1.29e-01	1.68815	-5.19149	0.863266	LSM14B	LSM family member 14B
218247_s_at	0.789296	1.29e-01	1.688123	-5.19153	0.3000889	MEX3C	mex-3 RNA binding family member C
218367_x_at	0.789296	1.29e-01	-1.688035	-5.19165	-0.3096331	USP21	ubiquitin specific peptidase 21
214957_at	0.789296	1.29e-01	-1.687902	-5.19183	-0.4448693	ACTL8	actin like 8
213051_at	0.789296	1.29e-01	-1.68773	-5.19207	-0.2735787	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1
201346_at	0.789296	1.29e-01	1.687615	-5.19222	0.2792865	ADIPOR2	adiponectin receptor 2
206557_at	0.789296	1.29e-01	1.687429	-5.19248	0.5050465	ZNF702P	zinc finger protein 702, pseudogene
202335_s_at	0.789296	1.29e-01	-1.687241	-5.19273	-0.3711345	UBE2B	ubiquitin conjugating enzyme E2 B
212613_at	0.789296	1.29e-01	-1.687086	-5.19295	-0.7342037	BTN3A2	butyrophilin subfamily 3 member A2
218186_at	0.789296	1.29e-01	1.686919	-5.19317	1.113013	RAB25	RAB25, member RAS oncogene family
207106_s_at	0.789296	1.29e-01	-1.686534	-5.1937	-0.4672079	LTK	leukocyte receptor tyrosine kinase
222023_at	0.789296	1.29e-01	-1.686465	-5.19379	-0.6569823	AKAP13	A-kinase anchoring protein 13
211371_at	0.789296	1.30e-01	1.6861	-5.19429	0.4782373	MAP2K5	mitogen-activated protein kinase kinase 5
204379_s_at	0.789296	1.30e-01	1.685991	-5.19444	0.3687188	FGFR3	fibroblast growth factor receptor 3
207892_at	0.789296	1.30e-01	-1.685944	-5.1945	-0.9800767	CD40LG	CD40 ligand
210126_at	0.789296	1.30e-01	-1.685883	-5.19459	-0.4995235	PSG9	pregnancy specific beta-1-glycoprotein 9
217878_s_at	0.789296	1.30e-01	-1.685775	-5.19473	-0.4311618	CDC27	cell division cycle 27
220562_at	0.789296	1.30e-01	-1.685557	-5.19503	-1.0286439	CYP2W1	cytochrome P450 family 2 subfamily W member 1
214885_at	0.789296	1.30e-01	1.685147	-5.19559	0.2515616	KAT8	lysine acetyltransferase 8
211152_s_at	0.789296	1.30e-01	-1.685098	-5.19566	-0.4605981	HTRA2	HtrA serine peptidase 2
201771_at	0.789296	1.30e-01	-1.685091	-5.19567	-0.2609526	SCAMP3	secretory carrier membrane protein 3
200631_s_at	0.789296	1.30e-01	1.684714	-5.19618	0.3233457	SETSIP///SET	SET-like protein///SET nuclear proto-oncogene
204756_at	0.789296	1.30e-01	1.684661	-5.19625	0.5819882	MAP2K5	mitogen-activated protein kinase kinase 5
201437_s_at	0.789296	1.30e-01	1.684455	-5.19653	0.568765	EIF4E	eukaryotic translation initiation factor 4E
207578_s_at	0.789296	1.30e-01	-1.684406	-5.1966	-0.8080969	HTR4	5-hydroxytryptamine receptor 4
212234_at	0.789296	1.30e-01	-1.684264	-5.19679	-0.2733347	ASXL1	additional sex combs like 1, transcriptional regulator
210341_at	0.7900305	1.30e-01	-1.683398	-5.19798	-0.6620905	MYT1	myelin transcription factor 1
201616_s_at	0.7900305	1.30e-01	-1.683293	-5.19812	-0.3370042	CALD1	caldesmon 1
212590_at	0.7900615	1.30e-01	1.683088	-5.1984	0.2758569	RRAS2	related RAS viral (r-ras) oncogene homolog 2
204940_at	0.7917091	1.30e-01	-1.681512	-5.20055	-1.5318352	PLN	phospholamban
205144_at	0.7917091	1.31e-01	-1.681067	-5.20115	-0.441984	MFSD7	major facilitator superfamily domain containing 7
218546_at	0.7917091	1.31e-01	1.680973	-5.20128	0.4212287	C1orf115	chromosome 1 open reading frame 115
210161_at	0.7917091	1.31e-01	1.680889	-5.20139	0.8801924	NFATC1	nuclear factor of activated T-cells 1
206339_at	0.7917091	1.31e-01	1.680819	-5.20149	1.2081947	CARTPT	CART prepropeptide
221895_at	0.791757	1.31e-01	-1.6806	-5.20179	-0.2761971	MOSPD2	motile sperm domain containing 2
211830_s_at	0.7921503	1.31e-01	1.680094	-5.20248	0.5511457	CACNA1I	calcium voltage-gated channel subunit alpha1 I
206382_s_at	0.7922675	1.31e-01	1.679707	-5.203	0.5287206	BDNF	brain derived neurotrophic factor
209354_at	0.7922675	1.31e-01	-1.679639	-5.2031	-0.5785433	TNFRSF14	TNF receptor superfamily member 14
214807_at	0.7926218	1.31e-01	-1.679165	-5.20374	-0.361638	PLXDC2	plexin domain containing 2
210364_at	0.7929661	1.31e-01	1.678393	-5.20479	1.519883	SCN2B	sodium voltage-gated channel beta subunit 2
208327_at	0.7929661	1.31e-01	-1.678235	-5.20501	-1.0716821	CYP2A13	cytochrome P450 family 2 subfamily A member 13
200768_s_at	0.7929661	1.31e-01	1.677907	-5.20546	0.2478592	MAT2A	methionine adenosyltransferase 2A
57082_at	0.7929661	1.31e-01	1.677778	-5.20563	0.3399233	LDLRAP1	low density lipoprotein receptor adaptor protein 1
221154_at	0.7929661	1.31e-01	-1.677771	-5.20564	-0.8921559	TRIM49C///TRIM49	tripartite motif containing 49C///tripartite motif containing 49
215999_at	0.7929661	1.31e-01	-1.677637	-5.20582	-0.455959	CDRT1	CMT1A duplicated region transcript 1
200928_s_at	0.7929661	1.31e-01	1.677518	-5.20598	0.5551872	RAB14	RAB14, member RAS oncogene family
201937_s_at	0.7929661	1.31e-01	-1.677449	-5.20608	-1.2172945	DNPEP	aspartyl aminopeptidase
202052_s_at	0.7930286	1.31e-01	-1.677169	-5.20646	-0.269352	RAI14	retinoic acid induced 14
221732_at	0.7930286	1.31e-01	-1.67673	-5.20706	-0.53412	CANT1	calcium activated nucleotidase 1
202430_s_at	0.7930286	1.32e-01	1.676356	-5.20757	0.4686341	PLSCR1	phospholipid scramblase 1
206121_at	0.7930286	1.32e-01	-1.676296	-5.20765	-0.4299949	AMPD1	adenosine monophosphate deaminase 1
201177_s_at	0.7930286	1.32e-01	1.676128	-5.20788	0.3397789	UBA2	ubiquitin like modifier activating enzyme 2
210360_s_at	0.7930286	1.32e-01	-1.676049	-5.20798	-0.3639528	MTSS1	metastasis suppressor 1
217289_s_at	0.7930286	1.32e-01	1.676007	-5.20804	0.4711149	SLC37A4	solute carrier family 37 member 4
33132_at	0.7930286	1.32e-01	-1.675969	-5.20809	-0.5105939	MIR6849///MIR1234///MIR939///CPSF1	microRNA 6849///microRNA 1234///microRNA 939///cleavage and polyadenylation specific factor 1
212212_s_at	0.7932989	1.32e-01	1.675223	-5.20911	0.4259391	INTS1	integrator complex subunit 1
214835_s_at	0.7932989	1.32e-01	1.674898	-5.20955	0.3188528	SUCLG2	succinate-CoA ligase GDP-forming beta subunit
209864_at	0.7932989	1.32e-01	1.674828	-5.20964	0.3296266	FRAT2	frequently rearranged in advanced T-cell lymphomas 2
202252_at	0.7932989	1.32e-01	-1.674794	-5.20969	-0.3511533	RAB13	RAB13, member RAS oncogene family
221782_at	0.7932989	1.32e-01	-1.674645	-5.20989	-0.2914202	DNAJC10	DnaJ heat shock protein family (Hsp40) member C10
44702_at	0.7932989	1.32e-01	-1.674564	-5.21	-0.3318533	SYDE1	synapse defective Rho GTPase homolog 1
216679_at	0.7932989	1.32e-01	1.674498	-5.21009	0.7245345	DDR1-AS1	DDR1 antisense RNA 1 (head to head)
213928_s_at	0.7934067	1.32e-01	-1.673999	-5.21077	-0.3996651	AGFG1	ArfGAP with FG repeats 1
202548_s_at	0.7934067	1.32e-01	-1.673769	-5.21108	-0.2461191	ARHGEF7	Rho guanine nucleotide exchange factor 7
206907_at	0.7934067	1.32e-01	-1.67361	-5.2113	-0.3183282	TNFSF9	tumor necrosis factor superfamily member 9
204722_at	0.7934067	1.32e-01	-1.673249	-5.21179	-0.4103712	SCN3B	sodium voltage-gated channel beta subunit 3
214611_at	0.7934067	1.32e-01	-1.672979	-5.21216	-0.503811	GRIK1	glutamate ionotropic receptor kainate type subunit 1
220832_at	0.7934067	1.32e-01	-1.672974	-5.21217	-0.4114121	TLR8	toll like receptor 8
219260_s_at	0.7934067	1.32e-01	1.672389	-5.21296	0.3021279	ELP5	elongator acetyltransferase complex subunit 5
204424_s_at	0.7934067	1.32e-01	-1.672274	-5.21312	-0.9536937	LMO3	LIM domain only 3
214967_at	0.7934067	1.32e-01	-1.672076	-5.21339	-1.0394704		
218311_at	0.7934067	1.32e-01	1.671963	-5.21354	0.2432169	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3
38892_at	0.7934067	1.32e-01	1.671906	-5.21362	0.4005288	GLTSCR1L	GLTSCR1 like
217479_at	0.7934067	1.32e-01	1.671806	-5.21375	0.6285736	SHISA6	shisa family member 6
204642_at	0.7934067	1.32e-01	-1.67178	-5.21379	-0.4020864	S1PR1	sphingosine-1-phosphate receptor 1
211453_s_at	0.7934067	1.32e-01	1.671514	-5.21415	0.4373327	AKT2	AKT serine/threonine kinase 2
221838_at	0.7934067	1.33e-01	-1.671341	-5.21438	-1.5153367	KLHL22	kelch like family member 22
220880_at	0.7934067	1.33e-01	-1.671246	-5.21451	-1.4535169		
221162_at	0.7934067	1.33e-01	-1.671081	-5.21474	-0.4737019	HHLA1	HERV-H LTR-associating 1
200726_at	0.7934067	1.33e-01	1.671071	-5.21475	0.4179312	PPP1CC	protein phosphatase 1 catalytic subunit gamma
216029_at	0.7934067	1.33e-01	1.671017	-5.21482	0.4792496		
213184_at	0.7934067	1.33e-01	-1.670858	-5.21504	-0.2731806	SENP5	SUMO1/sentrin specific peptidase 5
205667_at	0.793807	1.33e-01	1.670348	-5.21573	0.3913369	WRN	Werner syndrome RecQ like helicase
210024_s_at	0.7940497	1.33e-01	1.669601	-5.21675	0.3351382	UBE2E3	ubiquitin conjugating enzyme E2 E3
208410_x_at	0.7940497	1.33e-01	-1.669441	-5.21696	-0.7981255	AMELX	amelogenin, X-linked
202976_s_at	0.7940497	1.33e-01	1.669434	-5.21697	0.516982	RHOBTB3	Rho related BTB domain containing 3
206679_at	0.7940497	1.33e-01	1.669225	-5.21726	0.8819381	APBA1	amyloid beta precursor protein binding family A member 1
205728_at	0.7940497	1.33e-01	-1.668785	-5.21786	-1.0654258	TENM1	teneurin transmembrane protein 1
204335_at	0.7940497	1.33e-01	-1.668715	-5.21795	-1.5762981	CCDC94	coiled-coil domain containing 94
206286_s_at	0.7940497	1.33e-01	-1.668618	-5.21808	-1.0768847	TDGF1P3///TDGF1	teratocarcinoma-derived growth factor 1 pseudogene 3///teratocarcinoma-derived growth factor 1
201541_s_at	0.7940497	1.33e-01	1.668402	-5.21838	0.3330448	ZNHIT1	zinc finger HIT-type containing 1
201970_s_at	0.7940497	1.33e-01	1.668271	-5.21855	0.3983705	NASP	nuclear autoantigenic sperm protein
205748_s_at	0.7940497	1.33e-01	1.668086	-5.2188	0.7192523	RNF126	ring finger protein 126
218915_at	0.7940497	1.33e-01	1.667972	-5.21896	0.4518608	NF2	neurofibromin 2
219515_at	0.7940497	1.33e-01	-1.66782	-5.21916	-0.3540449	PRDM10	PR/SET domain 10
210454_s_at	0.7940497	1.33e-01	-1.667772	-5.21923	-0.6977798	KCNJ6	potassium voltage-gated channel subfamily J member 6
215156_at	0.7940497	1.33e-01	1.667672	-5.21937	1.2167451	WDR61	WD repeat domain 61
205099_s_at	0.7940541	1.33e-01	-1.667492	-5.21961	-0.6098845	CCR1	C-C motif chemokine receptor 1
211102_s_at	0.7940602	1.33e-01	-1.66731	-5.21986	-0.7745281	LILRA2	leukocyte immunoglobulin like receptor A2
208045_at	0.7942154	1.33e-01	-1.667005	-5.22027	-1.1014592		
216637_at	0.7948735	1.34e-01	-1.666282	-5.22125	-1.1512587		
206668_s_at	0.7952514	1.34e-01	-1.665642	-5.22212	-0.597957	SCAMP1	secretory carrier membrane protein 1
203637_s_at	0.7952514	1.34e-01	1.665504	-5.22231	0.5619594	MID1	midline 1
209414_at	0.7952514	1.34e-01	-1.66544	-5.22239	-0.4598745	FZR1	fizzy/cell division cycle 20 related 1
209689_at	0.7953769	1.34e-01	-1.66516	-5.22277	-0.3317647	CCDC93	coiled-coil domain containing 93
211651_s_at	0.7955262	1.34e-01	1.664701	-5.2234	0.3171536	LAMB1	laminin subunit beta 1
209071_s_at	0.7955262	1.34e-01	1.664684	-5.22342	0.2608477	RGS5	regulator of G-protein signaling 5
217126_at	0.7956041	1.34e-01	1.664006	-5.22434	1.025632		
201202_at	0.7956041	1.34e-01	1.663977	-5.22438	0.3682064	PCNA	proliferating cell nuclear antigen
215140_at	0.7956041	1.34e-01	-1.663094	-5.22557	-0.46564		
212759_s_at	0.7956041	1.34e-01	-1.66302	-5.22568	-0.7423527	TCF7L2	transcription factor 7 like 2
220739_s_at	0.7956041	1.34e-01	-1.66285	-5.22591	-0.3332539	CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3
204898_at	0.7956041	1.34e-01	-1.662763	-5.22602	-0.5971798	SAP30	Sin3A associated protein 30
59433_at	0.7956041	1.34e-01	-1.662598	-5.22625	-0.2918631	LOC102725263///LOC389906	uncharacterized LOC102725263///zinc finger protein 839 pseudogene
211274_at	0.7956041	1.34e-01	1.662508	-5.22637	0.3322321	TBX1	T-box 1
201963_at	0.7956041	1.34e-01	-1.662328	-5.22661	-0.2652857	ACSL1	acyl-CoA synthetase long-chain family member 1
207648_at	0.7956041	1.34e-01	-1.6623	-5.22665	-0.8334481	DRP2	dystrophin related protein 2
201659_s_at	0.7956041	1.34e-01	-1.662144	-5.22686	-0.2539686	ARL1	ADP ribosylation factor like GTPase 1
206094_x_at	0.7956041	1.34e-01	1.662097	-5.22693	0.369446	UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10	UDP glucuronosyltransferase family 1 member A3///UDP glucuronosyltransferase family 1 member A1///UDP glucuronosyltransferase family 1 member A4///UDP glucuronosyltransferase family 1 member A9///UDP glucuronosyltransferase family 1 member A5///UDP glucuronosyltransferase family 1 member A6///UDP glucuronosyltransferase family 1 member A7///UDP glucuronosyltransferase family 1 member A8///UDP glucuronosyltransferase family 1 member A10
201784_s_at	0.7956041	1.34e-01	1.662014	-5.22704	0.2482758	C11orf58	chromosome 11 open reading frame 58
221558_s_at	0.7956041	1.34e-01	1.661735	-5.22742	1.0545672	LEF1	lymphoid enhancer binding factor 1
210605_s_at	0.7956041	1.34e-01	1.661519	-5.22771	0.5057247	MFGE8	milk fat globule-EGF factor 8 protein
219027_s_at	0.7956041	1.35e-01	-1.66128	-5.22803	-0.5060789	MYO9A	myosin IXA
216087_at	0.7956041	1.35e-01	-1.660809	-5.22867	-0.7994669		
220889_s_at	0.7956041	1.35e-01	-1.660654	-5.22888	-1.1541569	CA10	carbonic anhydrase 10
211903_s_at	0.7956041	1.35e-01	-1.660572	-5.22899	-1.1645646	MPL	MPL proto-oncogene, thrombopoietin receptor
222006_at	0.7956041	1.35e-01	1.660572	-5.22899	0.4663225	LETM1	leucine zipper and EF-hand containing transmembrane protein 1
219953_s_at	0.7956041	1.35e-01	-1.660431	-5.22918	-0.9094743	AKIP1	A-kinase interacting protein 1
216805_at	0.7956041	1.35e-01	-1.660157	-5.22955	-1.558041		
209912_s_at	0.7956041	1.35e-01	-1.659772	-5.23008	-0.5805729	MIR4656///AP5Z1	microRNA 4656///adaptor related protein complex 5 zeta 1 subunit
209500_x_at	0.7956041	1.35e-01	-1.659626	-5.23027	-0.2717996	TNFSF12-TNFSF13///TNFSF13	TNFSF12-TNFSF13 readthrough///tumor necrosis factor superfamily member 13
220039_s_at	0.7956041	1.35e-01	1.65958	-5.23034	1.2126639	CDKAL1	CDK5 regulatory subunit associated protein 1 like 1
202149_at	0.7956041	1.35e-01	-1.659503	-5.23044	-0.3028111	NEDD9	neural precursor cell expressed, developmentally down-regulated 9
214646_at	0.7956041	1.35e-01	1.659433	-5.23053	1.1256945	HIST1H3F///HIST1H3B///HIST1H3H///HIST1H3J///HIST1H3G///HIST1H3I///HIST1H3E///HIST1H3C///HIST1H3D///HIST1H3A	histone cluster 1, H3f///histone cluster 1, H3b///histone cluster 1, H3h///histone cluster 1, H3j///histone cluster 1, H3g///histone cluster 1, H3i///histone cluster 1, H3e///histone cluster 1, H3c///histone cluster 1, H3d///histone cluster 1, H3a
201777_s_at	0.7956041	1.35e-01	1.659259	-5.23077	0.5071792	EFCAB14	EF-hand calcium binding domain 14
204955_at	0.7956041	1.35e-01	1.659041	-5.23106	0.3133436	SRPX	sushi repeat containing protein, X-linked
208453_s_at	0.7956041	1.35e-01	-1.658959	-5.23118	-0.3442743	XPNPEP1	X-prolyl aminopeptidase 1
208914_at	0.7956041	1.35e-01	1.658851	-5.23132	0.3052576	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2
206631_at	0.7956041	1.35e-01	-1.658751	-5.23146	-0.8778147	PTGER2	prostaglandin E receptor 2
216013_at	0.7956041	1.35e-01	-1.658559	-5.23172	-0.4597592	ZXDB	zinc finger, X-linked, duplicated B
215982_s_at	0.7956041	1.35e-01	-1.658328	-5.23203	-0.9340046	DXO	decapping exoribonuclease
208574_at	0.7956041	1.35e-01	1.658193	-5.23221	0.9450303	SOX14	SRY-box 14
220802_at	0.7956041	1.35e-01	-1.658147	-5.23228	-0.3908834	KCNH4	potassium voltage-gated channel subfamily H member 4
206065_s_at	0.7956041	1.35e-01	1.658136	-5.23229	0.9472032	DPYS	dihydropyrimidinase
203137_at	0.7958472	1.35e-01	-1.657759	-5.2328	-0.3307658	WTAP	Wilms tumor 1 associated protein
203270_at	0.7961987	1.35e-01	1.657226	-5.23352	0.2856025	DTYMK	deoxythymidylate kinase
202792_s_at	0.7961987	1.35e-01	1.656958	-5.23388	0.4189007	PPP6R2	protein phosphatase 6 regulatory subunit 2
220918_at	0.7961987	1.35e-01	1.656945	-5.2339	0.91801	RUNX1-IT1	RUNX1 intronic transcript 1
41856_at	0.7962667	1.36e-01	-1.656331	-5.23473	-0.3099426	UNC5B	unc-5 netrin receptor B
221188_s_at	0.7962667	1.36e-01	-1.656302	-5.23477	-0.3322296	CIDEB	cell death-inducing DFFA-like effector b
215103_at	0.7962667	1.36e-01	1.656285	-5.23479	1.110071	CYP2C18	cytochrome P450 family 2 subfamily C member 18
207550_at	0.7962667	1.36e-01	1.656166	-5.23496	0.8824482	MPL	MPL proto-oncogene, thrombopoietin receptor
221066_at	0.7962667	1.36e-01	-1.65581	-5.23544	-0.697635	RXFP3	relaxin/insulin like family peptide receptor 3
210985_s_at	0.7962667	1.36e-01	-1.655782	-5.23548	-0.6344791	SP100	SP100 nuclear antigen
207169_x_at	0.7962667	1.36e-01	1.655669	-5.23563	0.9470015	MIR4640///DDR1	microRNA 4640///discoidin domain receptor tyrosine kinase 1
219969_at	0.7964239	1.36e-01	1.65505	-5.23646	0.327967	TXLNG	taxilin gamma
32042_at	0.7964239	1.36e-01	-1.655027	-5.2365	-0.4395583	ENOX2	ecto-NOX disulfide-thiol exchanger 2
219814_at	0.7964239	1.36e-01	-1.654628	-5.23704	-0.8797427	MBNL3	muscleblind like splicing regulator 3
37005_at	0.7964239	1.36e-01	-1.653957	-5.23794	-0.3845101	MINOS1-NBL1///NBL1	MINOS1-NBL1 readthrough///neuroblastoma 1, DAN family BMP antagonist
220382_s_at	0.7964239	1.36e-01	1.653812	-5.23814	1.2669225	ARHGAP28	Rho GTPase activating protein 28
215325_x_at	0.7964239	1.36e-01	1.653698	-5.23829	1.0289718	CBARP	CACN beta subunit associated regulatory protein
215413_at	0.7964239	1.36e-01	1.653602	-5.23842	1.327178	EXOC7	exocyst complex component 7
205751_at	0.7964239	1.36e-01	1.653391	-5.23871	1.2361916	SH3GL2	SH3 domain containing GRB2 like 2, endophilin A1
212676_at	0.7964239	1.36e-01	-1.653287	-5.23885	-0.5020807	NF1P9///NF1	neurofibromin 1 pseudogene 9///neurofibromin 1
213683_at	0.7964239	1.36e-01	1.65325	-5.2389	1.1973267	ACSL6	acyl-CoA synthetase long-chain family member 6
203278_s_at	0.7964239	1.36e-01	-1.653042	-5.23918	-0.5046641	PHF21A	PHD finger protein 21A
214742_at	0.7964239	1.36e-01	1.652996	-5.23924	1.1336011	CEP131	centrosomal protein 131
216084_at	0.7964239	1.36e-01	1.652874	-5.23941	1.7656439	FAM205BP	transmembrane protein C9orf144B pseudogene
208693_s_at	0.7964239	1.36e-01	-1.652596	-5.23978	-0.2687707	GARS	glycyl-tRNA synthetase
214945_at	0.7964239	1.36e-01	-1.652551	-5.23984	-0.96429	LOC101930363///LOC101928349///LOC100507387///FAM153C///FAM153A///FAM153B	uncharacterized LOC101930363///uncharacterized LOC101928349///uncharacterized LOC100507387///family with sequence similarity 153, member C///family with sequence similarity 153 member A///family with sequence similarity 153 member B
222374_at	0.7964239	1.36e-01	1.652301	-5.24018	0.9060139	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase
221141_x_at	0.7964239	1.36e-01	1.6522	-5.24032	0.6812914	EPN1	epsin 1
222321_at	0.7964239	1.36e-01	1.652195	-5.24032	1.174521	AGTR2	angiotensin II receptor type 2
211417_x_at	0.7964239	1.36e-01	-1.652091	-5.24046	-0.3012409	GGT2///GGTLC1///GGTLC2///GGT1	gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 1
209176_at	0.7964239	1.36e-01	1.651805	-5.24085	0.932258	SEC23IP	SEC23 interacting protein
203033_x_at	0.7964239	1.37e-01	1.651592	-5.24114	0.2437592	FH	fumarate hydratase
207700_s_at	0.7964239	1.37e-01	-1.65116	-5.24172	-0.3369927	NCOA3	nuclear receptor coactivator 3
213721_at	0.7964239	1.37e-01	-1.651124	-5.24177	-1.2641346	SOX2	SRY-box 2
208782_at	0.7964239	1.37e-01	-1.650751	-5.24227	-0.2364303	FSTL1	follistatin like 1
201889_at	0.7964239	1.37e-01	1.650545	-5.24255	0.2958265	FAM3C	family with sequence similarity 3 member C
208533_at	0.7964239	1.37e-01	1.650356	-5.24281	0.8687087	SOX1	SRY-box 1
209358_at	0.7964239	1.37e-01	1.650025	-5.24325	0.3853268	TAF11	TATA-box binding protein associated factor 11
202904_s_at	0.7964239	1.37e-01	1.649831	-5.24352	0.5157197	LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated
212125_at	0.7964239	1.37e-01	-1.649784	-5.24358	-0.8963815	RANGAP1	Ran GTPase activating protein 1
207450_s_at	0.7964239	1.37e-01	1.649499	-5.24396	0.5152048	POU6F2	POU class 6 homeobox 2
215181_at	0.7964239	1.37e-01	-1.649481	-5.24399	-0.8409558	CDH22	cadherin 22
207423_s_at	0.7964239	1.37e-01	-1.649053	-5.24457	-0.7928677	ADAM20	ADAM metallopeptidase domain 20
207440_at	0.7964239	1.37e-01	1.648684	-5.24506	0.3852669	SLC35A2	solute carrier family 35 member A2
206414_s_at	0.7964239	1.37e-01	1.648602	-5.24517	0.2895122	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2
218977_s_at	0.7964239	1.37e-01	-1.648557	-5.24524	-0.4334482	TRNAU1AP	tRNA selenocysteine 1 associated protein 1
209260_at	0.7964239	1.37e-01	-1.648165	-5.24576	-0.498393	SFN	stratifin
205194_at	0.7964239	1.37e-01	1.647774	-5.24629	0.4130552	PSPH	phosphoserine phosphatase
204869_at	0.7964239	1.37e-01	-1.647513	-5.24664	-0.4314514	PCSK2	proprotein convertase subtilisin/kexin type 2
221390_s_at	0.7964239	1.37e-01	-1.647394	-5.24681	-0.4817412	ASB12///MTMR8	ankyrin repeat and SOCS box containing 12///myotubularin related protein 8
203140_at	0.7964239	1.37e-01	-1.647299	-5.24693	-0.4568561	BCL6	B-cell CLL/lymphoma 6
